track_id,track_name,artist_name,album_name,release_date,popularity,duration_ms,explicit,artist_genres,release_year
60a0Rd6pjrkxjPbaKzXjfq,In the End,Linkin Park,Hybrid Theory (Bonus Edition),2000-10-24,88,216880,False,"alternative metal, nu metal, rap metal, rock",2000
2nLtzopw4rPReszdYBJU6h,Numb,Linkin Park,Meteora,2003-03-25,87,187520,False,"alternative metal, nu metal, rap metal, rock",2003
3fjmSxt0PskST13CSdBUFx,Somewhere I Belong,Linkin Park,Meteora (Bonus Edition),2003-03-25,82,213933,False,"alternative metal, nu metal, rap metal, rock",2003
1EDPVGbyPKJPeGqATwXZvN,The Emptiness Machine,Linkin Park,From Zero,2024-11-15,80,190427,True,"alternative metal, nu metal, rap metal, rock",2024
18lR4BzEs7e3qzc0KVkTpU,What I've Done,Linkin Park,Minutes to Midnight,2007-05-14,84,205226,False,"alternative metal, nu metal, rap metal, rock",2007
4Yf5bqU3NK4kNOypcrLYwU,Faint,Linkin Park,Meteora,2003-03-25,82,162106,False,"alternative metal, nu metal, rap metal, rock",2003
3K4HG9evC7dg3N0R9cYqk4,One Step Closer,Linkin Park,Hybrid Theory (Bonus Edition),2000-10-24,83,157333,False,"alternative metal, nu metal, rap metal, rock",2000
57BrRMwf9LrcmuOsyGilwr,Crawling,Linkin Park,Hybrid Theory (Bonus Edition),2000-10-24,81,208960,False,"alternative metal, nu metal, rap metal, rock",2000
2HBBM75Xv3o2Mqdyh1NcM0,Heavy Is the Crown,Linkin Park,From Zero,2024-11-15,77,167012,False,"alternative metal, nu metal, rap metal, rock",2024
0UFDKFqW2oGspYeYqo9wjA,Bleed It Out,Linkin Park,Minutes to Midnight,2007-05-14,80,164426,True,"alternative metal, nu metal, rap metal, rock",2007
3AJwUDP919kvQ9QcozQPxg,Yellow,Coldplay,Parachutes,2000-07-10,91,266773,False,,2000
7D0RhFcb3CrfPuTJ0obrod,Sparks,Coldplay,Parachutes,2000-07-10,90,227093,False,,2000
3Fcfwhm8oRrBvBZ8KGhtea,Viva La Vida,Coldplay,Viva La Vida or Death and All His Friends,2008-06-19,73,242373,False,,2008
75JFxkI2RXiU7L9VXzMkle,The Scientist,Coldplay,A Rush of Blood to the Head,2002-08-27,88,309600,False,,2002
6RUKPb4LETWmmr3iAEQktW,Something Just Like This,"The Chainsmokers, Coldplay",Memories...Do Not Open,2017-04-07,87,247160,False,,2017
0FDzzruyVECATHXKHFs9eJ,A Sky Full of Stars,Coldplay,Ghost Stories,2014-05-16,86,267866,False,,2014
7LVHVU3tWfcxj5aiPFEW4Q,Fix You,Coldplay,X&Y,2005-06-07,85,295533,False,,2005
0BCPKOYdS2jbQ8iyB56Zns,Clocks,Coldplay,A Rush of Blood to the Head,2002-08-27,85,307879,False,,2002
6nek1Nin9q48AVZcWs9e9D,Paradise,Coldplay,Mylo Xyloto,2011-10-24,84,278719,False,,2011
69uxyAqqPIsUyTO8txoP2M,Adventure of a Lifetime,Coldplay,A Head Full of Dreams,2015-12-04,83,263786,False,,2015
0pqnGHJpmpxLKifKRmU6WP,Believer,Imagine Dragons,Evolve,2017-06-23,86,204346,False,,2017
5qaEfEh1AtSdrdrByCP7qR,Demons,Imagine Dragons,Night Visions,2012-09-04,83,177506,False,,2012
1zB4vmk8tFRmM9UULNzbLB,Thunder,Imagine Dragons,Evolve,2017-06-23,85,187146,False,,2017
54ipXppHLA8U4yqpOFTUhr,Bones,Imagine Dragons,Mercury - Acts 1 & 2,2022-07-01,80,165264,False,,2022
62yJjFtgkhUrXktIoSjgP2,Radioactive,Imagine Dragons,Night Visions,2012-09-04,80,186813,False,,2012
6Qn5zhYkTa37e91HC1D7lb,Whatever It Takes,Imagine Dragons,Evolve,2017-06-23,82,201240,False,,2017
3CIyK1V4JEJkg02E4EJnDl,Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, JID, Arcane, League of Legends",Mercury - Acts 1 & 2,2022-07-01,79,173381,False,,2022
2RSHsoi04658QL5xgQVov3,Bad Liar,Imagine Dragons,Origins (Deluxe),2018-11-09,81,260773,False,,2018
2FY7b99s15jUprqC0M5NCT,Natural,Imagine Dragons,Origins (Deluxe),2018-11-09,80,189466,False,,2018
213x4gsFDm04hSqIUkg88w,On Top Of The World,Imagine Dragons,Night Visions,2012-09-04,76,192280,False,,2012
5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,Arctic Monkeys,AM,2013-09-09,90,183956,False,"garage rock, indie",2013
0BxE4FqsDD1Ot4YuBXwAPp,505,Arctic Monkeys,Favourite Worst Nightmare,2007-04-22,85,253586,False,"garage rock, indie",2007
5TTGoX70AFrTvuEtqHK37S,No. 1 Party Anthem,Arctic Monkeys,AM,2013-09-09,86,243131,False,"garage rock, indie",2013
5FVd6KXrgO9B3JPmC8OPst,Do I Wanna Know?,Arctic Monkeys,AM,2013-09-09,86,272394,False,"garage rock, indie",2013
086myS9r57YsLbJpU0TgK9,Why'd You Only Call Me When You're High?,Arctic Monkeys,AM,2013-09-09,84,161123,False,"garage rock, indie",2013
2AT8iROs4FQueDv2c8q2KE,R U Mine?,Arctic Monkeys,AM,2013-09-09,80,201726,False,"garage rock, indie",2013
2x8evxqUlF0eRabbW2JBJd,Fluorescent Adolescent,Arctic Monkeys,Favourite Worst Nightmare,2007-04-22,77,183893,False,"garage rock, indie",2007
0NdTUS4UiNYCNn5FgVqKQY,Snap Out Of It,Arctic Monkeys,AM,2013-09-09,79,193030,False,"garage rock, indie",2013
7nzsY8vlnKdvGOEE0rjAXZ,Arabella,Arctic Monkeys,AM,2013-09-09,75,207356,False,"garage rock, indie",2013
2LGdO5MtFdyphi2EihANZG,Knee Socks,Arctic Monkeys,AM,2013-09-09,75,257563,False,"garage rock, indie",2013
5UWwZ5lm5PKu6eKsHAGxOk,Everlong,Foo Fighters,The Colour And The Shape,1997-05-20,83,250546,False,"alternative rock, grunge, post-grunge, rock",1997
7x8dCjCr0x6x2lXKujYD34,The Pretender,Foo Fighters,"Echoes, Silence, Patience & Grace",2007-09-25,78,269373,False,"alternative rock, grunge, post-grunge, rock",2007
5OQsiBsky2k2kDKy2bX2eT,Learn to Fly,Foo Fighters,There Is Nothing Left To Lose,1999-11-02,75,235293,False,"alternative rock, grunge, post-grunge, rock",1999
4dVbhS6OiYvFikshyaQaCN,My Hero,Foo Fighters,The Colour And The Shape,1997-05-20,75,260026,False,"alternative rock, grunge, post-grunge, rock",1997
5FZxsHWIvUsmSK1IAvm2pp,Best of You,Foo Fighters,In Your Honor,2005-06-14,75,255626,False,"alternative rock, grunge, post-grunge, rock",2005
6tsojOQ5wHaIjKqIryLZK6,All My Life,Foo Fighters,One By One (Expanded Edition),2002-10-22,71,263440,False,"alternative rock, grunge, post-grunge, rock",2002
67vYdAAM3oGsEImCRfbtsF,Times Like These,Foo Fighters,One By One (Expanded Edition),2002-10-22,68,265560,False,"alternative rock, grunge, post-grunge, rock",2002
44wXefe8WB9Fd6xwtmAwbR,Monkey Wrench,Foo Fighters,The Colour And The Shape,1997-05-20,67,231480,False,"alternative rock, grunge, post-grunge, rock",1997
3QmesrvdbPjwf7i40nht1D,Everlong - Acoustic Version,Foo Fighters,Greatest Hits,2009-11-03,67,250906,False,"alternative rock, grunge, post-grunge, rock",2009
76Je5Wklky23mVoxiRszcN,Walk,Foo Fighters,Wasting Light,2011-04-12,67,255960,False,"alternative rock, grunge, post-grunge, rock",2011
3ZOEytgrvLwQaqXreDs2Jx,Can't Stop,Red Hot Chili Peppers,By the Way (Deluxe Edition),2002-07-09,85,269000,False,"alternative rock, funk rock, rock",2002
48UPSzbZjgc449aqz8bxox,Californication,Red Hot Chili Peppers,Californication (Deluxe Edition),1999-06-08,84,329733,False,"alternative rock, funk rock, rock",1999
1G391cbiT3v3Cywg8T7DM1,Scar Tissue,Red Hot Chili Peppers,Californication (Deluxe Edition),1999-06-08,84,215906,False,"alternative rock, funk rock, rock",1999
3d9DChrdc6BOeFsbrZ3Is0,Under the Bridge,Red Hot Chili Peppers,Blood Sugar Sex Magik (Deluxe Edition),1991-09-24,84,264306,False,"alternative rock, funk rock, rock",1991
64BbK9SFKH2jk86U3dGj2P,Otherside,Red Hot Chili Peppers,Californication (Deluxe Edition),1999-06-08,84,255373,False,"alternative rock, funk rock, rock",1999
2aibwv5hGXSgw7Yru8IYTO,Snow (Hey Oh),Red Hot Chili Peppers,Stadium Arcadium,2006-05-09,80,334666,False,"alternative rock, funk rock, rock",2006
10Nmj3JCNoMeBQ87uw5j8k,Dani California,Red Hot Chili Peppers,Stadium Arcadium,2006-05-09,80,282160,False,"alternative rock, funk rock, rock",2006
